total_memory(B),available_memory(B),used_memory(B),free_memory(B),percent_used(%),active_memory(B),inactive_memory(B),buffers(B),cached(B),shared_memory(B),slab(B)
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187740160
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18284544,421040128,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18292736,421031936,3678208,187404288
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18292736,421031936,3678208,187445248
7910813696,6854868992,774127616,6697361408,13.3,113545216,630284288,18292736,421031936,3678208,187445248
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18292736,421048320,3678208,187637760
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18292736,421048320,3678208,187637760
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18292736,421048320,3678208,187408384
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18292736,421048320,3678208,187408384
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18292736,421048320,3678208,187662336
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18292736,421048320,3678208,187662336
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18292736,421048320,3678208,187465728
7910813696,6856749056,772251648,6699220992,13.3,113561600,630288384,18300928,421040128,3678208,187465728
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187518976
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187772928
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187404288
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187404288
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187658240
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187658240
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187731968
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187731968
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18300928,421052416,3678208,187404288
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18309120,421044224,3678208,187404288
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18309120,421044224,3678208,187658240
7910813696,6856753152,772239360,6699220992,13.3,113561600,630288384,18309120,421044224,3678208,187658240
7910813696,6856753152,772231168,6699220992,13.3,113561600,630288384,18309120,421052416,3678208,187420672
7910813696,6854692864,774307840,6697144320,13.4,113577984,630288384,18309120,421052416,3678208,187420672
7910813696,6854692864,774307840,6697144320,13.4,113577984,630288384,18309120,421052416,3678208,187731968
7910813696,6854692864,774307840,6697144320,13.4,113577984,630288384,18309120,421052416,3678208,187731968
7910813696,6854692864,774307840,6697144320,13.4,113577984,630288384,18309120,421052416,3678208,187404288
7910813696,6854692864,774307840,6697144320,13.4,113577984,630288384,18309120,421052416,3678208,187404288
7910813696,6854692864,774307840,6697144320,13.4,113577984,630288384,18309120,421052416,3678208,187658240
7910813696,6854692864,774307840,6697144320,13.4,113577984,630288384,18317312,421044224,3678208,187658240
7910813696,6854692864,774299648,6697144320,13.4,113577984,630288384,18317312,421052416,3678208,187437056
7910813696,6854692864,774299648,6697144320,13.4,113577984,630288384,18317312,421052416,3678208,187437056
7910813696,6854692864,774299648,6697144320,13.4,113577984,630288384,18317312,421052416,3678208,187412480
7910813696,6854692864,774299648,6697144320,13.4,113577984,630288384,18317312,421052416,3678208,187412480
7910813696,6854692864,774299648,6697144320,13.4,113577984,630288384,18317312,421052416,3678208,187412480
7910813696,6854692864,774299648,6697144320,13.4,113577984,630288384,18317312,421052416,3678208,187412480
7910813696,6854692864,774299648,6697144320,13.4,113577984,630284288,18317312,421052416,3678208,187723776
7910813696,6854692864,774299648,6697144320,13.4,113577984,630284288,18317312,421052416,3678208,187723776
7910813696,6854692864,774299648,6697144320,13.4,113577984,630284288,18317312,421052416,3678208,187469824
7910813696,6854692864,774299648,6697144320,13.4,113577984,630284288,18325504,421044224,3678208,187723776
